"ID","acquisition_date","acquisition_hour","OBJECTID","Permanent_","GNIS_Name","LakeName","LakeID","source","sat"
"37131-1","2022-08-01",10,47651,"122336827","Lake Murray","Lake Murray","MUR","documents/247904/4742646/MP_ACQ__KML_20220728T120000_20220815T150000.kml","S2a"
"37131-1","2022-08-01",10,95501,"130875175","Wateree Lake","Lake Wateree","WAT","documents/247904/4742646/MP_ACQ__KML_20220728T120000_20220815T150000.kml","S2a"
"37145-2","2022-08-02",10,1384,"106454929","The Basin","Lake Auburn","AUB","documents/247904/4742646/MP_ACQ__KML_20220728T120000_20220815T150000.kml","S2a"
"37145-2","2022-08-02",10,12367,"152433086","Great Pond","Great Pond","GRT","documents/247904/4742646/MP_ACQ__KML_20220728T120000_20220815T150000.kml","S2a"
"37145-2","2022-08-02",10,27994,"132665760","Panther Pond","Panther Pond","PAN","documents/247904/4742646/MP_ACQ__KML_20220728T120000_20220815T150000.kml","S2a"
"37145-2","2022-08-02",10,29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond","Long Pond","LNG","documents/247904/4742646/MP_ACQ__KML_20220728T120000_20220815T150000.kml","S2a"
"37145-2","2022-08-02",10,34684,"106454579","Custer Pond","Sabattus Pond","SAB","documents/247904/4742646/MP_ACQ__KML_20220728T120000_20220815T150000.kml","S2a"
"37145-2","2022-08-02",10,35119,"152433096","China Lake","China Lake","CHN","documents/247904/4742646/MP_ACQ__KML_20220728T120000_20220815T150000.kml","S2a"
"37145-2","2022-08-02",10,12449,"136214359","Indian Lake","Indian Lake","IND","documents/247904/4742646/MP_ACQ__KML_20220728T120000_20220815T150000.kml","S2a"
"37145-2","2022-08-02",10,19374,"136215443","Yawgoo Pond","Yawgoo Pond","YAW","documents/247904/4742646/MP_ACQ__KML_20220728T120000_20220815T150000.kml","S2a"
"37145-2","2022-08-02",10,22736,"136216759","Barber Pond","Barber Pond","BAR","documents/247904/4742646/MP_ACQ__KML_20220728T120000_20220815T150000.kml","S2a"
