"ID","acquisition_date","acquisition_hour","OBJECTID","Permanent_","GNIS_Name","LakeName","LakeID","source","sat"
"37560-1","2022-08-31",10,47651,"122336827","Lake Murray","Lake Murray","MUR","documents/247904/4742646/MP_ACQ__KML_20220825T120000_20220912T150000.kml","S2a"
"37560-1","2022-08-31",10,95501,"130875175","Wateree Lake","Lake Wateree","WAT","documents/247904/4742646/MP_ACQ__KML_20220825T120000_20220912T150000.kml","S2a"
"37574-2","2022-09-01",10,1384,"106454929","The Basin","Lake Auburn","AUB","documents/247904/4742646/MP_ACQ__KML_20220825T120000_20220912T150000.kml","S2a"
"37574-2","2022-09-01",10,12367,"152433086","Great Pond","Great Pond","GRT","documents/247904/4742646/MP_ACQ__KML_20220825T120000_20220912T150000.kml","S2a"
"37574-2","2022-09-01",10,27994,"132665760","Panther Pond","Panther Pond","PAN","documents/247904/4742646/MP_ACQ__KML_20220825T120000_20220912T150000.kml","S2a"
"37574-2","2022-09-01",10,29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond","Long Pond","LNG","documents/247904/4742646/MP_ACQ__KML_20220825T120000_20220912T150000.kml","S2a"
"37574-2","2022-09-01",10,34684,"106454579","Custer Pond","Sabattus Pond","SAB","documents/247904/4742646/MP_ACQ__KML_20220825T120000_20220912T150000.kml","S2a"
"37574-2","2022-09-01",10,35119,"152433096","China Lake","China Lake","CHN","documents/247904/4742646/MP_ACQ__KML_20220825T120000_20220912T150000.kml","S2a"
"37574-2","2022-09-01",10,12449,"136214359","Indian Lake","Indian Lake","IND","documents/247904/4742646/MP_ACQ__KML_20220825T120000_20220912T150000.kml","S2a"
"37574-2","2022-09-01",10,19374,"136215443","Yawgoo Pond","Yawgoo Pond","YAW","documents/247904/4742646/MP_ACQ__KML_20220825T120000_20220912T150000.kml","S2a"
"37574-2","2022-09-01",10,22736,"136216759","Barber Pond","Barber Pond","BAR","documents/247904/4742646/MP_ACQ__KML_20220825T120000_20220912T150000.kml","S2a"
"37603-1","2022-09-03",11,47651,"122336827","Lake Murray","Lake Murray","MUR","documents/247904/4742646/MP_ACQ__KML_20220825T120000_20220912T150000.kml","S2a"
"37603-1","2022-09-03",11,95501,"130875175","Wateree Lake","Lake Wateree","WAT","documents/247904/4742646/MP_ACQ__KML_20220825T120000_20220912T150000.kml","S2a"
"37617-1","2022-09-04",10,1384,"106454929","The Basin","Lake Auburn","AUB","documents/247904/4742646/MP_ACQ__KML_20220825T120000_20220912T150000.kml","S2a"
"37617-1","2022-09-04",10,12367,"152433086","Great Pond","Great Pond","GRT","documents/247904/4742646/MP_ACQ__KML_20220825T120000_20220912T150000.kml","S2a"
"37617-1","2022-09-04",10,27994,"132665760","Panther Pond","Panther Pond","PAN","documents/247904/4742646/MP_ACQ__KML_20220825T120000_20220912T150000.kml","S2a"
"37617-1","2022-09-04",10,29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond","Long Pond","LNG","documents/247904/4742646/MP_ACQ__KML_20220825T120000_20220912T150000.kml","S2a"
"37617-1","2022-09-04",10,34684,"106454579","Custer Pond","Sabattus Pond","SAB","documents/247904/4742646/MP_ACQ__KML_20220825T120000_20220912T150000.kml","S2a"
"37617-1","2022-09-04",10,17927,"120804340","Sunapee Lake","Lake Sunapee","SUN","documents/247904/4742646/MP_ACQ__KML_20220825T120000_20220912T150000.kml","S2a"
"37617-1","2022-09-04",10,12449,"136214359","Indian Lake","Indian Lake","IND","documents/247904/4742646/MP_ACQ__KML_20220825T120000_20220912T150000.kml","S2a"
"37617-1","2022-09-04",10,19374,"136215443","Yawgoo Pond","Yawgoo Pond","YAW","documents/247904/4742646/MP_ACQ__KML_20220825T120000_20220912T150000.kml","S2a"
"37617-1","2022-09-04",10,22736,"136216759","Barber Pond","Barber Pond","BAR","documents/247904/4742646/MP_ACQ__KML_20220825T120000_20220912T150000.kml","S2a"
"28723-1","2022-09-05",10,47651,"122336827","Lake Murray","Lake Murray","MUR","documents/247904/4742649/MP_ACQ__KML_20220901T120000_20220919T150000.kml","S2b"
"28723-1","2022-09-05",10,95501,"130875175","Wateree Lake","Lake Wateree","WAT","documents/247904/4742649/MP_ACQ__KML_20220901T120000_20220919T150000.kml","S2b"
"28737-2","2022-09-06",10,1384,"106454929","The Basin","Lake Auburn","AUB","documents/247904/4742649/MP_ACQ__KML_20220901T120000_20220919T150000.kml","S2b"
"28737-2","2022-09-06",10,12367,"152433086","Great Pond","Great Pond","GRT","documents/247904/4742649/MP_ACQ__KML_20220901T120000_20220919T150000.kml","S2b"
